id,nome,departamento,cargo,salario,admissao,idade
1,Bruno Lima,Finanças,Assistente,12415,2018-08-26,48
2,Carla Mendes,TI,Gerente,16063,2017-09-08,48
3,Diego Rocha,Operações,Coordenador,12421,2019-05-11,42
4,Elisa Prado,Vendas,Analista,9192,2021-09-05,58
5,Felipe Nunes,RH,Coordenador,17243,2017-08-01,32
6,Gabriela Melo,Vendas,Assistente,6815,2023-12-16,28
7,Henrique Dias,TI,Analista,16161,2021-01-23,32
8,Isabela Castro,Vendas,Coordenador,10936,2023-07-14,44
9,João Pedro,TI,Assistente,13918,2023-04-23,40
10,Karen Alves,Vendas,Desenvolvedor,17203,2020-10-20,61
11,Lucas Teixeira,Vendas,Analista,3708,2020-08-14,62
12,Mariana Farias,RH,Assistente,7239,2022-12-05,33
13,Nicolas Reis,Operações,Gerente,3872,2017-01-19,59
14,Olivia Barros,Finanças,Assistente,8715,2020-08-06,54
15,Paulo Câmara,Operações,Desenvolvedor,17979,2016-04-10,53
16,Raquel Tavares,Finanças,Analista,11742,2023-09-19,54
17,Samuel Duarte,RH,Desenvolvedor,7788,2021-06-25,33
18,Tainá Furtado,TI,Analista,15836,2018-07-17,39
19,Vitor Hugo,Operações,Gerente,7650,2016-06-10,32
20,Ana Souza,Vendas,Desenvolvedor,6986,2022-08-08,32
21,Bruno Lima,Finanças,Desenvolvedor,12431,2016-04-22,39
22,Carla Mendes,TI,Analista,5888,2023-09-25,32
23,Diego Rocha,Vendas,Gerente,17287,2015-09-18,34
24,Elisa Prado,Vendas,Assistente,16139,2015-06-07,40
25,Felipe Nunes,Operações,Assistente,14494,2022-09-05,51
26,Gabriela Melo,Finanças,Analista,14235,2016-08-14,53
27,Henrique Dias,Finanças,Analista,16664,2017-05-24,29
28,Isabela Castro,Finanças,Analista,14694,2018-12-03,42
29,João Pedro,TI,Gerente,7994,2019-08-21,54
30,Karen Alves,Vendas,Desenvolvedor,17118,2015-07-04,55
31,Lucas Teixeira,Finanças,Coordenador,16286,2023-11-27,62
32,Mariana Farias,Vendas,Analista,6529,2017-10-13,36
33,Nicolas Reis,TI,Desenvolvedor,10202,2017-08-27,33
34,Olivia Barros,RH,Desenvolvedor,4659,2018-11-03,55
35,Paulo Câmara,TI,Analista,9615,2016-08-18,61
36,Raquel Tavares,TI,Coordenador,3135,2021-12-09,61
37,Samuel Duarte,RH,Gerente,6345,2025-06-16,55
38,Tainá Furtado,TI,Desenvolvedor,16273,2018-05-22,53
39,Vitor Hugo,RH,Assistente,12295,2020-09-16,40
40,Ana Souza,Vendas,Coordenador,4341,2019-07-15,42
41,Bruno Lima,TI,Assistente,4397,2017-08-11,29
42,Carla Mendes,Finanças,Assistente,14047,2017-08-27,53
43,Diego Rocha,Operações,Assistente,13759,2018-01-10,39
44,Elisa Prado,Operações,Coordenador,17078,2021-01-18,42
45,Felipe Nunes,Finanças,Desenvolvedor,9237,2021-08-14,47
46,Gabriela Melo,Finanças,Analista,6896,2022-12-08,43
47,Henrique Dias,Vendas,Desenvolvedor,9834,2021-04-19,32
48,Isabela Castro,Operações,Coordenador,15272,2025-02-20,61
49,João Pedro,Finanças,Coordenador,12411,2023-01-24,23
50,Karen Alves,RH,Analista,15286,2020-06-25,57
51,Lucas Teixeira,Vendas,Analista,10997,2018-06-18,34
52,Mariana Farias,TI,Gerente,8980,2018-05-26,32
53,Nicolas Reis,Finanças,Desenvolvedor,9273,2018-09-24,37
54,Olivia Barros,Vendas,Analista,16352,2015-09-04,54
55,Paulo Câmara,RH,Assistente,3192,2017-05-10,23
