ra,aluno,disciplina,nota1,nota2,nota3,media,frequencia
2024001,Bruno Lima,Banco de Dados,7.5,8.6,9.2,8.43,87
2024002,Carla Mendes,Matemática,7.2,2.5,8.8,6.17,89
2024003,Diego Rocha,Programação,8.6,4.0,7.7,6.77,77
2024004,Elisa Prado,Matemática,5.1,10.0,9.8,8.3,85
2024005,Felipe Nunes,Redes,6.0,3.2,7.0,5.4,79
2024006,Gabriela Melo,Estatística,8.8,9.0,2.1,6.63,71
2024007,Henrique Dias,Redes,2.6,9.0,5.5,5.7,97
2024008,Isabela Castro,Estatística,6.1,2.5,5.4,4.67,76
2024009,João Pedro,Estatística,4.0,9.3,9.6,7.63,81
2024010,Karen Alves,Estatística,5.4,8.6,3.7,5.9,99
2024011,Lucas Teixeira,Estatística,7.5,5.8,7.0,6.77,93
2024012,Mariana Farias,Redes,2.9,7.1,7.2,5.73,85
2024013,Nicolas Reis,Programação,7.1,3.0,6.3,5.47,97
2024014,Olivia Barros,Redes,7.3,9.0,7.9,8.07,92
2024015,Paulo Câmara,Redes,6.2,8.2,9.1,7.83,68
2024016,Raquel Tavares,Estatística,9.9,4.5,6.6,7.0,73
2024017,Samuel Duarte,Banco de Dados,2.8,8.7,7.4,6.3,81
2024018,Tainá Furtado,Banco de Dados,3.9,8.5,8.9,7.1,99
2024019,Vitor Hugo,Banco de Dados,7.7,3.4,3.1,4.73,78
2024020,Ana Souza,Redes,7.2,6.7,3.3,5.73,80
2024021,Bruno Lima,Programação,6.5,2.8,9.8,6.37,100
2024022,Carla Mendes,Banco de Dados,2.2,9.4,3.3,4.97,78
2024023,Diego Rocha,Programação,6.1,6.1,2.4,4.87,100
2024024,Elisa Prado,Programação,3.3,3.0,8.5,4.93,65
2024025,Felipe Nunes,Programação,3.8,9.1,2.1,5.0,98
2024026,Gabriela Melo,Banco de Dados,5.7,5.0,2.4,4.37,66
2024027,Henrique Dias,Redes,8.7,6.8,8.9,8.13,95
2024028,Isabela Castro,Banco de Dados,3.0,6.4,8.5,5.97,77
2024029,João Pedro,Estatística,5.1,2.7,2.5,3.43,80
2024030,Karen Alves,Redes,4.3,4.6,4.0,4.3,70
2024031,Lucas Teixeira,Redes,6.1,2.4,5.9,4.8,91
2024032,Mariana Farias,Redes,7.1,3.6,4.5,5.07,85
2024033,Nicolas Reis,Matemática,2.3,3.6,8.2,4.7,66
2024034,Olivia Barros,Banco de Dados,8.7,5.2,3.5,5.8,88
2024035,Paulo Câmara,Estatística,9.5,9.6,6.7,8.6,93
2024036,Raquel Tavares,Matemática,4.7,9.2,2.4,5.43,92
2024037,Samuel Duarte,Banco de Dados,5.4,2.7,2.1,3.4,90
2024038,Tainá Furtado,Estatística,4.4,2.7,2.7,3.27,79
2024039,Vitor Hugo,Estatística,2.0,5.6,4.6,4.07,90
2024040,Ana Souza,Redes,8.5,9.3,4.2,7.33,95
2024041,Bruno Lima,Matemática,6.2,2.1,8.2,5.5,77
2024042,Carla Mendes,Banco de Dados,5.4,3.6,6.4,5.13,89
2024043,Diego Rocha,Redes,7.8,6.5,5.2,6.5,89
2024044,Elisa Prado,Redes,5.7,2.1,3.9,3.9,92
2024045,Felipe Nunes,Redes,6.4,9.2,6.5,7.37,95
2024046,Gabriela Melo,Redes,10.0,7.3,5.9,7.73,69
2024047,Henrique Dias,Estatística,2.2,8.4,5.4,5.33,88
2024048,Isabela Castro,Banco de Dados,8.8,6.6,9.2,8.2,66
2024049,João Pedro,Redes,3.9,2.2,2.7,2.93,92
2024050,Karen Alves,Estatística,5.6,9.7,6.2,7.17,100
2024051,Lucas Teixeira,Programação,5.0,4.4,2.6,4.0,65
2024052,Mariana Farias,Redes,4.9,3.1,2.6,3.53,94
2024053,Nicolas Reis,Estatística,4.7,4.5,9.7,6.3,94
2024054,Olivia Barros,Banco de Dados,5.7,7.6,7.4,6.9,73
2024055,Paulo Câmara,Banco de Dados,4.4,6.8,8.3,6.5,71
2024056,Raquel Tavares,Redes,7.4,8.7,6.4,7.5,82
2024057,Samuel Duarte,Matemática,6.9,6.7,9.5,7.7,92
2024058,Tainá Furtado,Estatística,3.4,3.1,9.5,5.33,86
2024059,Vitor Hugo,Redes,6.7,5.6,8.5,6.93,81
2024060,Ana Souza,Estatística,4.1,3.1,8.6,5.27,87
2024061,Bruno Lima,Estatística,5.0,8.7,2.4,5.37,92
2024062,Carla Mendes,Redes,3.0,8.8,3.1,4.97,88
2024063,Diego Rocha,Banco de Dados,8.6,7.7,2.1,6.13,68
2024064,Elisa Prado,Matemática,7.1,3.8,7.6,6.17,86
2024065,Felipe Nunes,Banco de Dados,4.2,2.4,3.4,3.33,73
2024066,Gabriela Melo,Estatística,8.8,5.8,3.4,6.0,75
2024067,Henrique Dias,Redes,6.9,9.1,9.1,8.37,82
2024068,Isabela Castro,Matemática,2.5,5.9,7.2,5.2,98
2024069,João Pedro,Programação,3.3,4.1,5.6,4.33,70
2024070,Karen Alves,Programação,9.9,2.6,9.5,7.33,99
2024071,Lucas Teixeira,Estatística,2.0,2.5,8.3,4.27,100
2024072,Mariana Farias,Matemática,2.7,6.6,9.8,6.37,76
2024073,Nicolas Reis,Banco de Dados,9.1,2.9,8.5,6.83,70
2024074,Olivia Barros,Estatística,3.5,2.6,9.0,5.03,88
2024075,Paulo Câmara,Programação,9.6,8.9,5.5,8.0,73
2024076,Raquel Tavares,Programação,2.4,5.7,8.5,5.53,85
2024077,Samuel Duarte,Matemática,2.0,5.9,9.2,5.7,70
2024078,Tainá Furtado,Redes,6.6,4.5,7.7,6.27,83
2024079,Vitor Hugo,Programação,8.5,3.1,6.5,6.03,94
2024080,Ana Souza,Banco de Dados,6.7,6.6,8.9,7.4,91
2024081,Bruno Lima,Estatística,3.1,4.1,9.7,5.63,72
2024082,Carla Mendes,Banco de Dados,8.7,2.7,7.0,6.13,97
2024083,Diego Rocha,Programação,9.8,3.6,4.5,5.97,99
2024084,Elisa Prado,Matemática,3.7,8.2,8.2,6.7,67
2024085,Felipe Nunes,Estatística,4.7,3.2,8.2,5.37,90
2024086,Gabriela Melo,Programação,7.5,2.5,9.1,6.37,78
2024087,Henrique Dias,Estatística,5.5,6.2,9.1,6.93,80
2024088,Isabela Castro,Estatística,9.0,3.2,6.2,6.13,90
2024089,João Pedro,Estatística,9.8,5.5,8.0,7.77,93
2024090,Karen Alves,Programação,6.7,3.8,7.7,6.07,81
2024091,Lucas Teixeira,Estatística,9.4,6.0,6.4,7.27,76
2024092,Mariana Farias,Estatística,8.4,5.1,9.9,7.8,84
2024093,Nicolas Reis,Banco de Dados,9.3,6.3,4.6,6.73,68
2024094,Olivia Barros,Banco de Dados,8.5,9.4,7.6,8.5,90
2024095,Paulo Câmara,Estatística,5.6,4.7,2.6,4.3,90
2024096,Raquel Tavares,Programação,3.6,3.5,8.6,5.23,67
